,timestamp_str,price,volume
364,Sep 17 2015 01: +0,6.252,155
365,Sep 18 2015 01: +0,6.523,215
366,Sep 19 2015 01: +0,6.564,304
367,Sep 20 2015 01: +0,6.502,232
368,Sep 21 2015 01: +0,6.416,173
369,Sep 22 2015 01: +0,6.536,147
370,Sep 23 2015 01: +0,6.233,143
371,Sep 24 2015 01: +0,6.245,167
372,Sep 25 2015 01: +0,6.484,198
373,Sep 26 2015 01: +0,6.344,247
374,Sep 27 2015 01: +0,6.364,226
375,Sep 28 2015 01: +0,6.561,145
376,Sep 29 2015 01: +0,6.396,141
377,Sep 30 2015 01: +0,6.219,164
378,Oct 01 2015 01: +0,6.229,190
379,Oct 02 2015 01: +0,6.49,210
380,Oct 03 2015 01: +0,6.45,218
381,Oct 04 2015 01: +0,6.354,220
382,Oct 05 2015 01: +0,6.412,154
383,Oct 06 2015 01: +0,6.453,137
384,Oct 07 2015 01: +0,5.803,270
385,Oct 08 2015 01: +0,6.204,170
386,Oct 09 2015 01: +0,6.258,211
387,Oct 10 2015 01: +0,6.36,251
388,Oct 11 2015 01: +0,6.379,240
389,Oct 12 2015 01: +0,6.182,189
390,Oct 13 2015 01: +0,6.303,147
391,Oct 14 2015 01: +0,6.29,132
392,Oct 15 2015 01: +0,5.972,172
393,Oct 16 2015 01: +0,5.772,202
394,Oct 17 2015 01: +0,5.977,233
395,Oct 18 2015 01: +0,5.99,240
396,Oct 19 2015 01: +0,6.062,147
397,Oct 20 2015 01: +0,6.039,149
398,Oct 21 2015 01: +0,5.807,149
399,Oct 22 2015 01: +0,5.59,150
400,Oct 23 2015 01: +0,5.628,205
401,Oct 24 2015 01: +0,5.788,290
402,Oct 25 2015 01: +0,5.791,223
403,Oct 26 2015 01: +0,5.786,161
404,Oct 27 2015 01: +0,5.855,147
405,Oct 28 2015 01: +0,5.613,163
406,Oct 29 2015 01: +0,5.5,154
407,Oct 30 2015 01: +0,5.495,245
408,Oct 31 2015 01: +0,5.473,246
409,Nov 01 2015 01: +0,5.288,229
410,Nov 02 2015 01: +0,5.351,176
411,Nov 03 2015 01: +0,5.444,163
412,Nov 04 2015 01: +0,5.557,139
413,Nov 05 2015 01: +0,5.604,150
414,Nov 06 2015 01: +0,5.708,202
415,Nov 07 2015 01: +0,5.852,244
416,Nov 08 2015 01: +0,5.9,220
417,Nov 09 2015 01: +0,5.748,148
418,Nov 10 2015 01: +0,5.522,157
419,Nov 11 2015 01: +0,5.371,181
420,Nov 12 2015 01: +0,5.709,132
421,Nov 13 2015 01: +0,5.668,155
422,Nov 14 2015 01: +0,5.669,249
423,Nov 15 2015 01: +0,5.644,201
424,Nov 16 2015 01: +0,5.537,143
425,Nov 17 2015 01: +0,5.418,135
426,Nov 18 2015 01: +0,5.643,108
427,Nov 19 2015 01: +0,5.814,96
428,Nov 20 2015 01: +0,5.455,180
429,Nov 21 2015 01: +0,5.67,223
430,Nov 22 2015 01: +0,5.649,206
431,Nov 23 2015 01: +0,5.757,143
432,Nov 24 2015 01: +0,5.643,140
433,Nov 25 2015 01: +0,5.535,191
434,Nov 26 2015 01: +0,5.046,278
435,Nov 27 2015 01: +0,4.862,317
436,Nov 28 2015 01: +0,5.036,343
437,Nov 29 2015 01: +0,4.962,292
438,Nov 30 2015 01: +0,4.997,211
439,Dec 01 2015 01: +0,4.959,163
440,Dec 02 2015 01: +0,5.127,158
441,Dec 03 2015 01: +0,5.135,159
442,Dec 04 2015 01: +0,5.375,196
443,Dec 05 2015 01: +0,5.49,283
444,Dec 06 2015 01: +0,5.683,231
445,Dec 07 2015 01: +0,5.52,163
446,Dec 08 2015 01: +0,5.558,152
447,Dec 09 2015 01: +0,5.521,156
448,Dec 10 2015 01: +0,5.578,145
449,Dec 11 2015 01: +0,5.565,187
450,Dec 12 2015 01: +0,5.724,255
451,Dec 13 2015 01: +0,5.803,236
452,Dec 14 2015 01: +0,5.766,148
453,Dec 15 2015 01: +0,5.449,154
454,Dec 16 2015 01: +0,5.789,161
455,Dec 17 2015 01: +0,5.386,182
456,Dec 18 2015 01: +0,5.113,264
457,Dec 19 2015 01: +0,5.44,306
458,Dec 20 2015 01: +0,5.538,249
459,Dec 21 2015 01: +0,5.868,226
460,Dec 22 2015 01: +0,5.691,227
461,Dec 23 2015 01: +0,4.918,333
462,Dec 24 2015 01: +0,5.207,381
463,Dec 25 2015 01: +0,6.226,543
464,Dec 26 2015 01: +0,6.563,415
465,Dec 27 2015 01: +0,6.401,331
466,Dec 28 2015 01: +0,6.239,290
467,Dec 29 2015 01: +0,5.849,308
468,Dec 30 2015 01: +0,5.773,276
469,Dec 31 2015 01: +0,5.703,280
470,Jan 01 2016 01: +0,5.414,359
471,Jan 02 2016 01: +0,5.481,331
472,Jan 03 2016 01: +0,5.267,277
473,Jan 04 2016 01: +0,5.21,273
474,Jan 05 2016 01: +0,5.328,199
475,Jan 06 2016 01: +0,5.524,158
476,Jan 07 2016 01: +0,5.694,188
477,Jan 08 2016 01: +0,5.699,199
478,Jan 09 2016 01: +0,5.84,255
479,Jan 10 2016 01: +0,5.778,225
480,Jan 11 2016 01: +0,5.678,156
481,Jan 12 2016 01: +0,5.571,155
482,Jan 13 2016 01: +0,5.757,160
483,Jan 14 2016 01: +0,5.635,150
484,Jan 15 2016 01: +0,5.748,226
485,Jan 16 2016 01: +0,5.752,280
486,Jan 17 2016 01: +0,5.802,264
487,Jan 18 2016 01: +0,5.565,244
488,Jan 19 2016 01: +0,5.721,155
489,Jan 20 2016 01: +0,5.498,162
490,Jan 21 2016 01: +0,5.453,169
491,Jan 22 2016 01: +0,5.516,168
492,Jan 23 2016 01: +0,5.655,237
493,Jan 24 2016 01: +0,5.475,212
494,Jan 25 2016 01: +0,5.44,168
495,Jan 26 2016 01: +0,5.749,152
496,Jan 27 2016 01: +0,5.543,162
497,Jan 28 2016 01: +0,5.56,172
498,Jan 29 2016 01: +0,5.414,169
499,Jan 30 2016 01: +0,5.596,261
500,Jan 31 2016 01: +0,5.572,225
501,Feb 01 2016 01: +0,5.61,150
502,Feb 02 2016 01: +0,5.566,142
503,Feb 03 2016 01: +0,5.668,158
504,Feb 04 2016 01: +0,5.617,146
505,Feb 05 2016 01: +0,5.626,200
506,Feb 06 2016 01: +0,5.349,295
507,Feb 07 2016 01: +0,5.217,277
508,Feb 08 2016 01: +0,5.184,200
509,Feb 09 2016 01: +0,5.084,150
510,Feb 10 2016 01: +0,5.215,182
511,Feb 11 2016 01: +0,5.235,182
512,Feb 12 2016 01: +0,5.234,200
513,Feb 13 2016 01: +0,5.647,269
514,Feb 14 2016 01: +0,5.554,227
515,Feb 15 2016 01: +0,5.656,184
516,Feb 16 2016 01: +0,5.632,171
517,Feb 17 2016 01: +0,5.646,171
518,Feb 18 2016 01: +0,5.387,222
519,Feb 19 2016 01: +0,5.273,194
520,Feb 20 2016 01: +0,5.322,276
521,Feb 21 2016 01: +0,5.325,238
522,Feb 22 2016 01: +0,5.351,166
523,Feb 23 2016 01: +0,5.57,170
524,Feb 24 2016 01: +0,5.353,192
525,Feb 25 2016 01: +0,5.401,164
526,Feb 26 2016 01: +0,5.246,193
527,Feb 27 2016 01: +0,5.462,256
528,Feb 28 2016 01: +0,5.323,251
529,Feb 29 2016 01: +0,5.445,160
530,Mar 01 2016 01: +0,5.442,193
531,Mar 02 2016 01: +0,5.448,181
532,Mar 03 2016 01: +0,5.286,167
533,Mar 04 2016 01: +0,5.578,216
534,Mar 05 2016 01: +0,5.609,241
535,Mar 06 2016 01: +0,5.474,208
536,Mar 07 2016 01: +0,5.562,155
537,Mar 08 2016 01: +0,5.573,141
538,Mar 09 2016 01: +0,5.546,155
539,Mar 10 2016 01: +0,5.785,112
540,Mar 11 2016 01: +0,5.839,174
541,Mar 12 2016 01: +0,5.834,220
542,Mar 13 2016 01: +0,5.857,188
543,Mar 14 2016 01: +0,6.008,143
544,Mar 15 2016 01: +0,5.882,119
545,Mar 16 2016 01: +0,6.02,123
546,Mar 17 2016 01: +0,5.738,73
547,Mar 18 2016 01: +0,5.894,172
548,Mar 19 2016 01: +0,5.983,221
549,Mar 20 2016 01: +0,5.988,144
550,Mar 21 2016 01: +0,5.976,137
551,Mar 22 2016 01: +0,5.64,116
552,Mar 23 2016 01: +0,5.645,121
553,Mar 24 2016 01: +0,5.846,159
554,Mar 25 2016 01: +0,5.8,170
555,Mar 26 2016 01: +0,5.874,181
556,Mar 27 2016 01: +0,6.032,231
557,Mar 28 2016 01: +0,6.168,198
558,Mar 29 2016 01: +0,6.185,162
559,Mar 30 2016 01: +0,6.167,133
560,Mar 31 2016 01: +0,6.052,153
561,Apr 01 2016 01: +0,6.29,164
562,Apr 02 2016 01: +0,6.404,206
563,Apr 03 2016 01: +0,6.339,196
564,Apr 04 2016 01: +0,6.156,123
565,Apr 05 2016 01: +0,6.073,121
566,Apr 06 2016 01: +0,6.037,137
567,Apr 07 2016 01: +0,6.015,149
568,Apr 08 2016 01: +0,6.062,161
569,Apr 09 2016 01: +0,6.335,177
570,Apr 10 2016 01: +0,6.175,178
571,Apr 11 2016 01: +0,6.091,133
572,Apr 12 2016 01: +0,6.107,113
